idx,questions,choices,labels
28,"Joe suffered many consequences from stabbing a stranger to death.   Among them, the family of the victim did something to him. What was that?",knife wounds|buy a gun|bleeding|jail time|law suit,4
29,To prevent any glare during the big football game he made sure to clean the dust of his what?,television|attic|corner|they cannot clean corner and library during football match they cannot need that|ground,0
30,"I have something in my head I want to share, what ways can I do that?",write an essay|organize thoughts|speak information|summarize main points|have information,2
31,"He wanted a house that was gated off from other places, where should he start looking?",neighborhood|subdivision|city|suburbs|street,1
32,Where in Southern Europe would you find many canals?,michigan|new york|amsterdam|venice|bridge,3
33,What would a camper need to do before he or she can start cooking food?,make breakfast|go hiking|pack or bag|light fire|grab a match,3
34,What could happen to a paper if you leave it outside even if it does not move?,one material often recycled|ripped|saturated with water|one dimensional|crumpled,2
35,"Mark's semen was very thick, but after his vasectomy it was also what?",blank|sparse|thin|clear|free flowing,3
36,What is a great place to lay in the sun?,in the basement|west|solar system|beach|beans,3
37,Where would you find a seafood restaurant in the east coast of North America?,maine|boston|beach town|coastal cities|ocean,0
38,The president is the leader of what institution?,walmart|white house|country|corporation|government,4
39,Sitting to close while watching TV can cause what sort of pain?,brain problems|laziness|get fat|headache|laughter,3
40,Where is a bald eagle safe?,pine tree|open country|in washington|wildlife refuge|sky,3
41,"The game promised it was free, but the child's parents soon found themselves doing what for microtransactions?",costly|captive|contained|paying|caught,3
42,What kind of driving leads to accidents?,stressful|dangerous|fun|illegal|deadly,1
43,What is eating too much dinner likely to result in?,tiredness|living longer|stomach ache|illness|acid reflux,2
44,What is a person chatting with friends likely hoping to accomplish?,gathering of information|communication|feel relaxed|kill boredom|social bonding,4
45,"Jame's bare feet were burned as he walked, because the sunshine had made the surface hot.  Where might he have been?",disneyland|snow|windowsill|street|summer,3
46,"A fox was thirsty searching for water during the drought, where was he?",painting|hen house|california|virginia|movie hall,2
47,What might be the result of a season of successful skiing?,finish line|broken bones|broken legs|chapped lips|healthy body,4
48,"The sensor would just the distance then set off an alarm, the installation expert explained it was called a what kind of sensor?",near|closeness|here|proximity|this,3
49,"The man was eating lunch, but rushed when he looked at his watch, why did he rush?",gain weight|late for work|heartburn|bad breath|early for work,1
50,"The evacuation became mandatory, so what came on the TV?",advisory|mandate|soap opera|elective|optional,0
51,The person gave a good hands on what to show how to do the work?,demonstration|garage|building|barn|synagogue,0
52,Where would you see some people doing jumping jacks?,military base|opera|water fountain|bus stop|church,0
53,"The body guard was good at his duties, he made the person who hired him what?",better job|irritated|feel safe|save money|headache,2
54,"Learning languages is difficult.  Even in a full immersion environment you're likely to make mistakes, mistakes will cause misinterpretation, which will be uncomfortable, which will cause what?,",better communication|overthinking|frustration|misunderstandings|headaches,2
55,"Jim enjoyed killing people, but he did it too often and the cops found out.  What might the cops do to him?",going to jail|going to prison|beat him up|get arrested|die,3
56,Where is there usually a fiddle playing?,music store|dance hall|orchestra|symphony|tennessee,2
57,What is the only was to recover from exhaustion?,mediate|have rest|stay in bed|run out of steam|go to sleep,1
58,What would you do if you want to be able to earn money?,apply for job|stand in line|take care of proposals|pass course|play the lottery,0
59,What is a grumpy person likely to have?,headache|understand themselves|compliments|own house|happiness,0
60,What do drugs do?,damage|cloud mind|lower i.q|cause illness|cause accidents,4
61,A beaver can destroy a machines functionality if they build their dam in this?,strip club|pocket|millpond|ontario|lake or river,2
62,"They decided to hash things out over drinks, after enough booze they were able to get close on a few things and what?",reach tentative agreement|suicide|examine thing|commit murder|stay in bed,0
63,Where could a fungus grow and not be disturbed by sunlight?,under rocks|manhattan|toenails|grocery store|fallen tree,0
64,Can you name a good reason for attending school?,get smart|boredom|colds and flu|taking tests|spend time,0
65,What state south of Kentucky and north of Alabama will you find people playing the fiddle?,alabama|tennessee|violin case|music store|bow and strings,1
66,"Though she made the cut years ago, its figurative scars would never what?",joining|put together|stitch|heal|paste,3
67,What does sex often make happen in people?,making love|feel good|happyness|wonderful thing|cloud judgment,1
68,Where would you see people in uniform playing with a ball?,hole|television|sporting goods store|pool table|sporting event,4
69,What kind of place could have a seafood restaurant?,new york|coastal cities|city|coastal cities|boston,2
70,Who was the head of the branch yelling at?,owner|foot|subordinate|base|point,2
71,"He made another call, he did this all day hoping people would what well to his offer?",hang up|respond|contact|answer|attracting ducks,1
72,"She needs to visit a bookshop after buying the latest fashion, where should she look?",student union|mall|department store|library|town or city,1
73,Where could you see an advertisement while reading news?,television|bus|email|web page|la ville,3
74,What is required to be good at playing tennis?,tennis racket|skill|competition|tennis court|legs,1
75,What state is the John Davis  Lodge toll road found in?,new jersey|eastern united states|good repair|connecticut|arizona,3
76,"The man went to clown college, he had always want to run away with the what?",circus|carnival|surprise|spoons|party,0
77,"Jamie wanted to reduce her waist size, but all of her efforts failed miserably.  She continued to do what?",gain weight|augment|dispare|make larger|expand,0
78,James felt himself losing consciousness.  He was frightened.  He didn't want this.  He was scared of what?,death|coma|peace|forgetfulness|loss of life,0
79,"If someone is aloof and self-important, what is their experience when meeting people?",stress|nervousness|smile|being bored|making new friends,3
80,"He was receiving workman's compensation, he had tripped over a metal rod while building where?",factory|construction site|engine|insides of skyscraper's walls|shops,1
81,John and James spent most of their time communicating with each other on their project.  The time required to communicate slowed their what?,static|train of thought.|progress|transfer of information|collaboration,2
82,When you play around with your dog they will have?,alive|health|fun|playing dead|black,2
83,Where would a person keep a book while it's being read?,closet|library of congress|classroom|in bed|desk,4
84,"The student needed to  get some new pencils, where did he go?",store|classroom|backpack|cabinet|teacher,0
85,"She loved buying products, she was driven by her what to shop more than any practical needs?",desire|money|time|credit|spending money,0
86,How does getting paid feel?,income tax|satisfaction|sorrow|ocean|bill collectors to happy,1
87,"The fat man refused to accept what was possible, he complained that he what the simplest activities?",no go|unlikely|unable|cant do|impossibility,3
88,Where can meat last a long time?,backery|ham sandwich|fridge|butcher shop|freezer,4
89,What group of musicians will include someone playing the cello?,ocean|symphony|band|music store|music shop,1
90,Where do bees congregate with red flowerS?,trash can|honey|bouquet of flowers|rose garden|field of flowers,3
91,What is someone who gets angry after getting drunk likely to participate in?,violence|falling down|vomiting|vomiting|lower standards,0
92,"The teacher told all the students that listening was key, it was the main way they would gain what?",empathy|anxiety|knowlege|falling down|hear things,2
93,Stanley had a dream that was very vivid and scary. He had trouble telling it from what?,reality|imagination|dreamworker|nightmare|awake,0
94,The city's community garden was demolished for yet another what?,wasteland|ocean|desert|parking lot|flowers,3
95,WHat do cats get into when they are ripping things apart?,dog's mouth|floor|garage|trouble|nature,3
96,What is a good result of losing weight?,increased energy|healthier|loose skin|beauty|death,1
97,A person lived in my what?,demonstration|conference|building|garage|mouth,3
98,"The skin was cut while chopping onions, where was this skin likely cut?",good health|finger|meat|body|own family,1
99,What might you feel after doing housework for hours?,anger|not boredom|stress|boredom|anxiety,2
100,"The accountant used a calculator regularly, he kept one at home and one at the what?",desk drawer|desktop|office|wristwatch|city hall,2
101,At the end of your meal what will a waiter do?,serve food|eat|set table|serve meal|present bill,4
102,"If you aren't glad, unhappy or gloomy, what illness may you have?",depressed|downcast|angry|unhappy|sorrowful,0
103,You can hear testimony of how spirituality changes lives when you do what?,go to church|appear in court|watch soap operas|paying attention|go into court,0
104,"It was a great rest, she had never felt this much what in the morning?",active|hunger|in motion|wakefulness|lay down,3
105,Which region has the most famous temple?,jerusalem|jewish community|middle east|city|mosque,2
106,Where would you find a bee gathering pollen?,united states|sky|court|field of flowers|orchard,3
107,Where would you put a folding chair if you do not plan to use it and you do not have any large doors in your house?,roof|school|beach|closet|garage,3
108,"If you're speaking to a lawyer about getting a divorce, what relationship status are you trying to end?",being married|sisters|marriage|two people|lawyer,0
109,How do geese normally get from place to place?,carried by people|guard house|fly|follow ultralight airplane|group together,2
110,John was punching and punching at the wall but succeeded only in bloodying his knuckles. This was bad.  He would be unable to hold his tools if he injured what?,hostility|anger|nose|fists|hands,4
111,"Though it stayed strictly indoors, the small dog felt like it had all the space in the world in the what?",living room|dog park|basket|small apartment|big house,4
112,WHat leads to someone's death when they are very depressed?,suicide|overdosing|sadness|murder|cyanide,0
113,"She was sick and staying in bed the day of the event, unfortunately this meant she was what?",resting|sleep more|bed sores|missing out|comfort,3
114,Where would a lizard surprise a person?,new mexico|forrest|dessert|garden|creek,3
115,"They were getting together for the big game, he wasn't hosting but made sure to bring pretty of food with him over to where?",picnic|friend's house|table|space shuttle|fairgrounds,1
116,Who is likely yo have a caring heart?,person|species|artichoke|all mammals|live animal,0
117,"I'm looking for alcohol and fried foods, any suggestions?",pub|plane|beer|store|fraternity house,0
118,"If I had a jar which was likely to spoil if left out, where would I want to put it?",kitchen cupboard|pantry|grocery store|pantry|refrigerator,4
119,Sam went to Paris where he ordered a blowfish at a sushi place.  Where was Sam?,books|france|fish market|atlantic ocean|cuba,1
120,What will happen to skin pinched in something?,feel cold|feel pressure|feel bumpy|itches|feel clammy,1
121,"Sally lost her kite because she wasn't careful.  She thought that there was more string on the spool, but it slipped out of her fingers when she reached the what?.",child's hand|the last straw|hobby shop|end of line|toy store,3
122,"The man uses grooming before a job interview, what is he trying to portray?",looking good|beauty|tardiness|handsomeness|neatness,4
123,Where would there be many people sitting in chair and listening to religious speech?,auditorium|office|synagogue|confession|church,2
124,Where is a tabby cat likely to be happiest?,box|home|alley|lap|barn,3
125,East coast areas such as Florida are found where?,florida|denmark|united states|map|california,2
126,"To learn must have the right book, to work efficiently what must one have?",improve yourself|become knowledgeable|have tools|persistence|have more knowledge,2
127,What is a mobile launching platform found in the ocean?,launch pad|circus|aircraft carrier|large open area|space station,2
128,There weren't potatoes but actually a snake in his what?,burlap sack|hot country|purse|pet shops|deep grass,0
129,What could listening to music cause you to be?,happy|smile|calm|entertainment|relaxation,2
130,"If you want to make a big splash in a river with a rock, from where should you throw it?",mountains countryside|ground|bridge|mountain range|surface of earth,2
131,What is committing perjury likely to lead to?,shame|arrest|embarrassment|go to jail|tension,1
132,"The new play was the go to performance of the year, all the crowds would stand and what?",admiration|applaud|make reservations|experience|sleep,1
133,"""There are 10 apples on an apple tree.  Three fall off.  Now there are X apples.""  What is this an example of?",park|coloring book|garden center|math problem|gravity,3
134,Where are people likely to find food?,opera|supermarket|building|conference|apartment,1
135,What might a kid do with his friend before going to play?,laugh|sit|being entertained|math|meet,4
136,What is a person who is well educated?,illiterate|knowledgable|own house|have enough food|meet expectations,1
137,"Ben was an alcoholic and was in an accident.  Because of his mistake, he spent 8 years somewhere. Where was he?",prison|bridge|locked up|homeless shelter|neighbor's house,0
138,Where do you buy tickets at a ticket booth for games/,train station|cathedral|metro station|fairgrounds|amusement park,3
139,A soccer field that is not contained in a building would be where?,playground|mexico|town|outside|world cup,3
140,Letters are sometimes delivered by hand through one of these.,mail box|suitcase|front door|bowl|post office,2
141,John came to see Sam and Sam kicked him out.  Sam didn't like company.  He prefered what?,you|abbreviation|solitude|loneliness|alone,2
142,"If somebody likes temperatures cool, they might have more than one electric fan where?",home|hardware store|home|hot room|office,0
143,"Sky diving scared him, once they jumped out of the plane he began losing consciousness while what?",injury|death|playing uno|coma|falling down,4
144,"The president had to make a decision regarding the hate attack on his country, what did he do?",wage war|fight enemy|kill|destroy enemy|attacked his country,0
145,What's it called when you have seen something through an eyepiece?,sights|optical illusion|optical telescope|light microscope|binocular,0
146,"He had done a great job with the scary decorations, they were completely what?",terrible|little|halloween|small|horrible,4
147,"If you did well on the test, you might get an A as a what?",see work|practice|quiz|school grade|homework,3
148,If you tell you boss your suffering from boredom they'll likely tell you to get back to what?,dream|fiddle|watch film|see new|work,4
149,What is a good result of jogging?,insect repellent|heart attacks|improved health|shin splints|being tired,2
150,What is done to wood to attach something to it?,nailed|carved|polished|eat cake|petrify,0
151,Where is a fox likely to be caught?,tennessee|inside joke|grassy field|the forrest|england,2
152,Where do you put a new dining table?,cafeteria|arranging papers|in the park|formal dining room|house,4
153,"Sometimes fighting inflation isn't even what, because it is so negligible?",economic instability|not noticeable|spend more|rising interest rates|boring,1
154,What is likely to have more than one level in a city?,carpenter's shop|video game|garage|total number|building,2
155,Where is likely to have a lot of fire extinguishers?,garage|hospital|boat|house|doll house,1
156,Where would someone learn to play an upright piano?,music room|music store|music class|medium|house,2
157,What is necessary for learning by yourself?,exposure|patience|study|cooperation|thought,2
158,"John and Jane were a couple.  They were dating for a while and wanted to be together for even longer. For this reason, they did what?",make sex|plan to marry|dance|electrical circuit|row about,1
159,What emotion does getting paid lead to?,sorrow|paying bills|happiness|frustration|spending money,2
160,Who is likely going in to a market?,stress|food|that you|spending money|walking,2
161,What is a characteristic of thin glass?,break easily|shattering|melt|bend|hold water,0
162,What do you get for not moving your car during the required time?,towed|accidents|driving|getting tired|ticket,4
163,"Bob's feet hurt from running barefoot on the hot pavement.  I lost his shoes, didn't know where they landed, and had to run from the corner store to his home.  About where did he run?",a bed of nails|town|attractive consistent look|city block|ground,3
164,Where would you be able to hear a bassoon played in an unpleasing fashion?,orchestra|baritone woodwind sound|symphony|play music|high school band,4
165,John loved competing because he was very competitive.  He liked being about to divide people into what categories?,winners and losers|perform better|might win|losses|enemies,0
166,The game was on sale.  I got it then because it was usually what?,buying|purchase|overpriced|way to much|expensive,4
167,What could a massive building be if it is not constructed well?,insubstantial|massless|dwarf|inconsequential|good,0
168,Where could a printer be used by thousands of people?,school|home office|people store|print shop|newspaper office,0
169,What could prevent someone from buying chistmas presents?,happiness|lack of money|stress|relief|exhiliration,1
170,What is the hope of playing sports without competition?,running|have fun|balls touch|winning|get tired,1
171,"They moved out of the city to have a master bedroom, what kind of home did they seek?",large house|suburban home|big house|old house|keeping personal objects,1
172,What could you add a line to?,bus stop|graph|post office|grass|play,1
173,Joe bought a ficus.  He thought it would look good in what part of his home?,family room|tropical forest|flower garden|movie theater|hair salon,0
174,"Sarah wanted to by a new rug.  Ink spilled onto her old one.  Really, she didn't know what that thing had an inkwell in the first place.  What piece of furniture might have been on her run?",front of door|bedroom|desk|table|living room,2
175,"When people discover something new while chatting with friends, why are they likely to continue talking?",agreement|to fill their time|discomfort|misunderstanding|learning about,4
176,How can one's views change after learning about science?,appreciation of nature|become educated|excitement|increased knowledge|see things differently,4
177,"Traveling underwater has many dangers, such as low visibility causing what?",disorientation|due to|meeting new people|getting somewhere|relocation,0
178,Where are people likely to stand at an intersection?,cars|city street|street corner|fork in road|at a red light,2
179,Janet knew she was dying from her injuries because she could feel herself doing what?,sleeping longer|getting cold|death and decay|change of color|stop breathing,1
180,"An expressway can suffer from traffic, this traffic gets worse the closer you get to any what?",michigan|map|american city|rest stops|country,2
181,Where are there more telephone booths?,gas stations|city|london|train station|airport,1
182,"John moved away from his family.  He was a bit upset that he had to do it, but he needed the job.  Still, he would have preferred it if the job were what?",present|stay here|closer|available|come here,2
183,"James complained that Alexa's electric guitar was too loud and he couldn't get any work done at home,  so she decided that she should get an acoustic guitar.  Where might she look for one?",house|music shop|studio|storage|closet,1
184,What can someone feeling happiness fall into?,lead to laughter|love|laughter|smiles|tears,1
185,How might a person address someone who is leaving?,further cause|wave goodbye|attempt suicide|insulting them|thank god,1
186,What does a chef do when working in the evening?,cook dinner|study french cooking|taste sauce|prepare food|thin sauce,0
187,What would happen to a person if his or her money is stolen?,complete sentence|feel angry|drink tea|cross street|park,1
188,"The people in class were instructed to brainstorm ideas, how would they use their minds for this?",shake hands|control events|talk to each other|think creatively|dress themselves,3
189,Someone lacking immortality will one day be?,kick the bucket|mortal|dead|can die|dying,2
190,"After his mother saw his report card he knew he was going to be doing housework, what could have prevented this?",sneezing|fatigue|house clean|feeling satisfied|getting good grades,4
191,Glass that hasn't been treated to be extra strong is what?,weak|fragile|forceless|regular|flimsy,1
192,If you've thrown a rod you've done damage to what?,fishing camp|hardware store|engine|your spine|sporting goods store,2
193,What enables most people to transport themselves?,helicopter|own cars|speak words|believe in god|dance together,1
194,What do people in the same family often share?,brown hair|names|two eyes|will|brains,1
195,What is an area with no grass where I can get things to sell at a roadside stand?,surface of earth|rest area|supermarket|state park|garden,4
196,Where do kids find fish in their backyards?,boat|ocean|pond|end of line|ocean,2
197,Where must one wear a white shoe?,wedding|tennis|closet|left foot|house,0
198,"James chose to not to print the cards, because he wanted to be more personal. What type of cards did he choose, instead?",cursive writing|hand writing|store bought|online media|hand written,4
199,"They checked the weather one more time during the flight, they were on their way to paradise and wanted it to what?",look beautiful|be happy|change quickly|occur here|surprise us,0
200,What are you hoping to achieve when talking to someone?,communicating with others|hurt feelings|dry mouth|intimacy|changing behavior,0
201,What place of work might you find a hairpin?,hair salon|hair of woman|barber shop|pincushion|woman's hair,0
202,What can go on a football field?,oklahoma|university|college campus|players|yard,3
203,What has a master of their craft done about that craft?,drill|committed murder most vile|bargemaster|learn|understand,3
204,If your watching television and accomplish nothing what have you done?,getting fat|get fat|typing words|falling asleep|wasted time,4
205,"He was in a cabin in the woods, through the window he saw a fox where?",indiana|england|outside|on the wall|picture,2
206,"The hippy wanted peace with all humans, he had strong what for them all?",names|words|naval|bladders|feelings,4
207,"He was a very sharp engineer, but when it came to the details his calculations could were often what?",complimentary|inelegant|ocean|dull|inaccurate,4
208,In the middle of the day what will someone do because of being hungry?,cook dinner|make bread|eat in restaurant|have lunch|make bread,3
209,"John enjoyed his time visiting the museum.  He wanted to spend more time there, so that he could study the exhibits more.   He was a very academic person and loved doing what?",tired feet|gaining knowledge|back pain|being bored|pondering,1
210,What will telling many people about an embarrassing situation lead to?,notoriety|emotional distress|riot|bad dreams|annoyance,1
211,"The electric motor powered many important things, including one if almost every house. Name this item?",electric locomotive|electric typewriter|multi-coloured walrus|electric refrigerator|electric drill,3
212,Where can peanut butter be stored?,container|supermarket|pantry|sandwich|jar,2
213,Where would you play a board game with your family?,toy store|home|school|toy shop|shelf,1
214,James needed a garage because he spent a lot of money on what?,bike|downtown|building|tool storage|car,4
215,"If I am a person, I have a unique ability to do what?",cross street|stand upright|speak spanish|speak chinese|further education,1
216,"Two friends wanted to spend a quiet evening together, what did they go see?",wedding|friend's house|internet cafe|movie|restaurant,3
217,"If an animal is tired, what is it likely to do?",bite|lie down|keep alive|need to eat|go to sleep,1
218,Where would you sit in a chair to watch four-legged animals complete?,bookstore|house|race track|friend's house|building,2
219,If you were looking for a lemur where would you find it?,russia|at home|hole|field|heaven,3
220,John ran out of pencils.  Where did  he go to get more?,desk drawer|cup|pencil case|shelf|office depot,4
221,When would you be able to see your reflection in a piece of wood?,burned|polished|carved|composted|nailed,1
222,What emotion do people expressing themselves show when they trip in front of a crowd and break their leg?,communication|suffering|pain|laughter|embarrassment,4
223,"He waited for his friend at the squash court, but he was worried his friend thought he meant the at the other end of the public what?",country club|rich person's house|pool|park|fitness center,3
224,When you plant a garden you can harvest what to eat?,flower|animal|flower petals|vegetable|alive,3
225,Where is basketball court likely to be outdoors?,high school gymnasium|city|park|use|los angeles,1
226,What could a balalaika be needed for?,artist junkyard|music store|singing|symphony|orchestra,3
227,What type of home is most likely to have an attic filled with historical items?,top of home|older houses|victorian house|own home|material,2
228,"Jackson is a popular city name, but the one with a governor's office is where?",michigan|wyoming|mississippi|tennessee|mississippi,4
229,Where is microphone boom likely to be used to record an album?,radio station|recording studio|concert|tv studio|new york,1
230,What is the worst outcome of an injury?,cause death|cause bleeding|falling down|become infected|claim insurance,0
231,How is someone who loves their TV likely to feel about their remote?,attached|nostalgic|companionable|likely|close,0
232,"The man wanted to take a bus, but all the chars were full of people doing what?",sitting down|refusing|saving money|sit down|go outdoors,0
233,"Bob thought that his Pokemon cards were common and worthless, but he was wrong about them. They were really what?",personal|special|shiny|rare|irregular,3
234,"A wife asks a husband to stop being married to her, what is he likely to feel even with friends?",happiness|pleasure|happy|grief|isolation,3
235,"The camper looked up at the vast night sky, it left him feeling mighty what?",unimportant|insignificant|stellar|somewhat|helpless,1
236,"Though nearby, an apple from an apple tree where would be an imported product to the USA?",ohio|washington state|alaska|canada|flowers,3
237,"The old man was retired and liked the simple things, he would do crossword puzzle every morning simply just to do what?",you're bored|pass time|relax|mentally challenged|win,1
238,What would you change the learning process to be if someone does not like learning?,interesting|fun|joyful or painful|very important|free,1
239,To properly instruct children attending school you would need a great deal of what?,boredom|patience|time|teachers|inspiration,1
240,If done correctly grooming pet's nails generally does not cause this?,training|satisfaction|injury|beauty|late,2
241,"The man was cleaning clothes for his date, what was he looking to achieve?",ruined|clean clothes|sadness|attractive appearance|look better,3
242,"The person was looking up airline and hotel prices, what was he looking to do?",control computer|separate things|go on vacation|cross street|go out,2
243,"The person put on lotion, what did they want?",fresh smell|good credit|smooth skin|fresh produce|headache,2
244,"Eating breakfast in bed can make you feel what, assuming that you don't spill anything?",vomiting|pleasure|happiness|contentment|mess,3
245,What would an adult man do to get ready for work?,dress herself|shower|dress himself|drink beer|drive train,2
246,"The woman picked from an apple tree while surrounded by other trees, where was she?",illinois|woods|new york|indiana|farmer's market,1
247,"Mom is tidying a house, where would she put the loose dictionary?",shelf|library|classroom|table|desk,0
248,"The judge did not take this part of the job lightly, the man was guilty but it was his passing sentence that condemned the man to what?",go to jail|incarceration|intercourse|death|judgement,3
249,Simon bought a cow because he wanted to put it to work.   He didn't want any meat for it.  Where might Simon be taking the cow?,countryside|city|dairy farm|butcher shop|canada,2
250,What would children do if they are bored?,walk|change shoes|play tag|smell smoke|reach over,2
251,Behind what small door are canned goods usually kept in?,cabinet|pantry|kitchen|cupboard|shelf,3
252,"While laid up in the hospital she tried remembering good times, like that massage on vacation that brought great what?",dream|knowing|depression|pleasure|nostalgia,3
253,"If I want to maximize my number of potential customers, where should I build a new department store?",idaho|shopping mall|big city|in town|new york,2
254,Where is a good place to get a ball?,kitchen|child's hand|street|toy store|soccer game,3
255,What common chemical reaction is often used as a heat source?,coal or wood|fire|lava|house|solar energy,1
256,Where could you put a dollar that would make it hard to get out without breaking?,cash drawer|piggy bank|purse|box|pocket,1
257,"I'm at a restaurant ans want a glass of milk, how do I find out if they serve that?",accompaniment to meal|waitress|cafeteria|home|menu,4
258,What could contain no more than around 100 people?,apartment|classroom|buildings|car|audience,1
259,"John joined the army because he wanted to see the world.  When the fighting started, he only saw what sort of things?",fort|orphans|battlefield|other countries|war,2
260,where do children play a game?,toy store|bar|casino|table|family room,4
261,What could happen after driving car that does not involve pain?,automobile accidents|backache|eye strain|getting tired|car crash,3
262,In what place could you find air that has been breathed by only a few people recently?,train station|house|cupboard|cricket stadium|surface of earth,1
263,what happens to a company when it is bankrupt?,liquidated|own resources|branch out|commit crime|game over,0
264,Blood isn't usually spilled during what sport that doesn't allow the use of hands?,soccer game|capillaries|ball|animals|person,0
265,"The dog ran to the front window and barked, this is because of a presence at the what?",building|friend's house|classroom|window|front door,4
266,Where would you find a sign with some people lined up next to it?,bus stop|street corner|roadblock|fast food drive thru|city,0
267,Sometimes it felt like being able to pay bills was the only reason he was actively what?,pay debts|make money|having money|making money|keep house,3
268,John just made first violin.  This is  is a position on what?,violin case|symphony orchestra|class|learning to play violin|music store,1
269,Where can someone keep a digital file?,suitcase|filing cabinet|computer|desk drawer|cloud,2
270,What appliance uses water and soap?,washing machine|space shuttle|blender|disneyland|surface of earth,0
271,"I am looking to buy honey right from an apiary, where should I go?",jar|stick to fingers|beehive|stick to fingers|farmer's market,4
272,Where would someone likely bring an attache case?,overhead compartment|chair|hospital|in shirt|business meeting,4
273,"i like to examine different things,why do books the chapters on the back",examine thing|go somewhere|knit|read book|see particular program,3
274,"The whole family was playing cards, they were full of joy and what?",sadness|happiness|amusement|losing money|anger,1
275,Jimmy wanted a beer but his wife was an alcoholic on probation.  Where might he go?,neighbor's house|bridge|home|homeless shelter|prison,0
276,What country has with the capital of Amsterdam has a Fortis bank?,netherlands|utrecht|brussels|belgium|denmark,0
277,What building has a ot of glue bottles?,art room|police station|classroom|desk drawer|school,4
278,"The king was to meet an ambassador, where would the meet?",court|dinning room|throne room|monarchy|castle,2
279,Where do kids play with a ball that is concrete?,street|soccer field|soccer game|central park|pool table,0
280,Diving off a cliff for a cartoon character often ends in comedic what?,exhilaration|dismemberment|spinal injuries|getting wet|splats,4
281,Jimmy didn't like going to the party.  It seemed like the guys there did nothing but what?,dance|getting drunk|meet new people|having fun|have fun,1
282,Where does a person need to get when they have more kids?,compliments|understand themselves|life partner|second chances|larger house,4
283,Where would a special ficus be found?,botanical garden|doctor's office|in a sea|public place|arboretum,0
284,"James is apply for a job that he really wants. He knows that it will be a good fit and he has experience, but he doesn't have all the qualifications that they're asking for, so he's worried about what?",acceptance|rejection|hope|less sleep|employment,1
285,What is a sign that you might not be living soon?,growing older|reproducing|shuddering|perspiration|palpitations,4
286,"Riding bike through rough terrain can be dangerous, one could find themselves what?",pleasure|accident|get somewhere|hurt|falling down,4
287,What would a document be if it is not obtuse?,pointed|bright|easy|clear|acute angled,3
288,For convenience some customers want things straight to the doorstep and use what?,mail orders|demand satisfaction|place money on counter|pay merchants with money|spend money,0
289,"What is a great, but non-specific, overall benefit of exercise?",good health|heart attacks|relaxation|rest|fatigue,0
